State,Year,Season,Produce,Temperature,Rainfall
Andhra Pradesh,2000,Whole Year,8.545289855072463,27.69,992.3
Andhra Pradesh,2001,Whole Year,8.809958506224067,27.97,1009.3
Andhra Pradesh,2002,Whole Year,8.679069767441861,28.05,703.2
Andhra Pradesh,2003,Whole Year,9.32975871313673,28.06,1096.8
Andhra Pradesh,2004,Whole Year,9.89806044203879,27.68,873.6
Andhra Pradesh,2005,Whole Year,9.787586206896552,27.82,1221.6
Andhra Pradesh,2006,Whole Year,8.458093410108765,27.92,1159.6
Andhra Pradesh,2008,Whole Year,9.018867924528301,27.89,1107.5
Andhra Pradesh,2009,Whole Year,8.630013831258644,28.43,790.5
Andhra Pradesh,2010,Whole Year,9.684748427672956,28.25,1712.4
Andhra Pradesh,2011,Whole Year,12.967121090617482,27.81,861.9
Andhra Pradesh,2012,Kharif,15.329588014981274,28.06,785.0
Andhra Pradesh,2012,Rabi,15.316916488222699,28.06,470.0
Andhra Pradesh,2013,Whole Year,17.311385459533607,27.78,1120.5
Andhra Pradesh,2014,Kharif,17.25071225071225,28.02,519.7
Andhra Pradesh,2014,Rabi,17.29303675048356,28.02,236.29999999999998
Arunachal Pradesh,1998,Whole Year,6.514032191498143,18.72,3616.7
Arunachal Pradesh,1999,Whole Year,6.539112903225806,19.11,2316.6
Arunachal Pradesh,2000,Whole Year,6.536737235367372,18.21,2596.8
Arunachal Pradesh,2001,Whole Year,7.024321997417133,18.71,2036.0
Arunachal Pradesh,2002,Whole Year,6.962629757785467,18.63,2389.2
Arunachal Pradesh,2003,Whole Year,7.3518150174042765,18.73,2451.8
Arunachal Pradesh,2004,Whole Year,6.525492055963955,18.43,2545.7
Arunachal Pradesh,2005,Whole Year,7.529144587433763,18.97,2335.5
Arunachal Pradesh,2006,Whole Year,7.95207026348808,19.15,2259.6
Arunachal Pradesh,2007,Whole Year,7.5912047879261,18.95,3020.7
Arunachal Pradesh,2008,Whole Year,8.221757322175732,18.68,2244.4
Arunachal Pradesh,2009,Whole Year,8.606611570247933,19.51,1749.9
Arunachal Pradesh,2010,Whole Year,8.267651130595294,19.24,2855.7
Arunachal Pradesh,2011,Whole Year,8.695652173913043,18.84,2193.7
Arunachal Pradesh,2012,Whole Year,8.069752958272783,18.6,3440.3
Arunachal Pradesh,2013,Whole Year,8.243259679708089,18.73,2042.9
Arunachal Pradesh,2014,Whole Year,8.25147347740668,19.02,2403.2
Assam,1997,Whole Year,8.927450537477245,22.54,2372.2
Assam,1998,Whole Year,7.940396060188674,23.5,2803.1
Assam,1999,Whole Year,9.117423255329129,23.77,2594.2
Assam,2000,Whole Year,8.303401073238597,22.85,2487.0
Assam,2001,Whole Year,7.751711302088538,23.56,2178.4
Assam,2002,Whole Year,7.8149060752987305,23.33,2392.7
Assam,2003,Whole Year,6.9719105450997505,23.33,2434.1
Assam,2004,Whole Year,8.057972203983367,23.27,2994.3
Assam,2005,Whole Year,5.079066027169074,23.6,2468.3
Assam,2006,Whole Year,6.492652357422277,23.92,1898.6
Assam,2007,Whole Year,6.926220460922643,23.72,2752.8
Assam,2008,Whole Year,6.585287996220488,23.45,2339.7
Assam,2009,Whole Year,7.263224775805105,24.21,2068.2
Assam,2010,Whole Year,7.734695317737553,24.05,2711.5
Assam,2011,Whole Year,6.978377770507892,23.53,1743.4
Assam,2012,Whole Year,7.425206421057044,23.05,2609.4
Assam,2013,Whole Year,7.147535628241251,23.14,1816.4
Assam,2014,Whole Year,7.498665339979525,23.52,2206.1
Bihar,1997,Whole Year,8.855804157382254,24.85,1303.7
Bihar,1998,Whole Year,9.64034484469936,25.86,1332.5
